Rank,Company_Name,Employee_Number,Revenues(m),Revenues(pc),Profits,Profits(pc),Assets(m),Market_Value(m),Sector,Industry,Company,City,State,lat,lon
1,Walmart,"2,200,000","$514,405.00 ",2.80%,"$6,670.00 ",-32.40%,"$219,295.00 ","$279,880.00 ",Retailing,General Merchandisers,Walmart, Bentonville, Arkansas,36.3729,-94.2088
2,Exxon Mobil,"71,000","$290,212.00 ",18.80%,"$20,840.00 ",5.70%,"$346,196.00 ","$342,172.00 ",Energy,Petroleum Refining,ExxonMobil, Irving, Texas,32.819595,-96.945419
3,Apple,"132,000","$265,595.00 ",15.90%,"$59,531.00 ",23.10%,"$365,725.00 ","$895,667.00 ",Technology,"Computers, Office Equipment",Apple, Cupertino, California,37.323,-122.0322
4,Berkshire Hathaway,"389,000","$247,837.00 ",2.40%,"$4,021.00 ",-91.10%,"$707,794.00 ","$493,870.00 ",Financials,Insurance: Property and Casualty (Stock),Berkshire Hathaway, Omaha, Nebraska,41.2565,-95.9345
5,Amazon.com,"647,500","$232,887.00 ",30.90%,"$10,073.00 ",232.10%,"$162,648.00 ","$874,710.00 ",Retailing,Internet Services and Retailing,Amazon, Seattle, Washington,47.36,-122.2
6,UnitedHealth Group,"300,000","$226,247.00 ",12.50%,"$11,986.00 ",13.50%,"$152,221.00 ","$237,256.00 ",Health Care,Health Care: Insurance and Managed Care,UnitedHealth Group, Minnetonka, Minneapolis,44.55,-93.28
7,McKesson,"68,000","$208,357.00 ",4.90%,$67.00 ,-98.70%,"$60,381.00 ","$22,455.00 ",Health Care,Wholesalers: Health Care,McKesson, Irving, Texas,32.49,-96.5084
8,CVS Health,"295,000","$194,579.00 ",5.30%,($594.00),-109.00%,"$196,456.00 ","$69,952.00 ",Health Care,Health Care: Pharmacy and Other Services,CVS Health, Woonsocket, Rhode Island,42.0029,-71.5148
9,AT&T,"268,220","$170,756.00 ",6.40%,"$19,370.00 ",-34.20%,"$531,864.00 ","$228,445.00 ",Telecommunications,Telecommunications,AT&T, Dallas, Texas,32.53,-97.5948
10,AmerisourceBergen,"20,500","$167,940.00 ",9.70%,"$1,658.40 ",355.00%,"$37,670.00 ","$16,786.00 ",Health Care,Wholesalers: Health Care,AmerisourceBergen, Chesterbrook, Pennsylvania,40.0757,-75.4591
11,Chevron,"48,600","$166,339.00 ",23.60%,"$14,824.00 ",61.20%,"$253,863.00 ","$234,050.00 ",Energy,Petroleum Refining,Chevron, San Ramon, California,37.7644,-121.954
