Rank,Company_Name,Fortune_Site,CEO,CEO_Title,HQ_Location
1,Walmart,https://fortune.com/fortune500/2019/walmart,C. Douglas McMillon,"President, Chief Executive Officer & Director","Bentonville, Ark."
2,Exxon Mobil,https://fortune.com/fortune500/2019/exxon-mobil,Darren W. Woods,Chairman & Chief Executive Officer,"Irving, Texas"
3,Apple,https://fortune.com/fortune500/2019/apple,Timothy D. Cook,"President, Chief Executive Officer & Director","Cupertino, Calif."
4,Berkshire Hathaway,https://fortune.com/fortune500/2019/berkshire-hathaway,Warren E. Buffett,"Chairman, President & Chief Executive Officer","Omaha, Neb."
5,amazon-com,https://fortune.com/fortune500/2019/amazon-com,Jeffrey P. Bezos,"Chairman, President & Chief Executive Officer","Seattle, Wash."
6,UnitedHealth Group,https://fortune.com/fortune500/2019/unitedhealth-group,David S. Wichmann,"President, Chief Executive Officer & Director","Minnetonka, Minn."
7,McKesson,https://fortune.com/fortune500/2019/mckesson,Brian S. Tyler,"President, Chief Executive Officer & Director","Irving, Texas"
8,CVS Health,https://fortune.com/fortune500/2019/cvs-health,Larry J. Merlo,"President, Chief Executive Officer & Director","Woonsocket, R.I."
9,AT&T,https://fortune.com/fortune500/2019/att,Randall L. Stephenson,"Chairman, President & Chief Executive Officer","Dallas, Texas"
10,AmerisourceBergen,https://fortune.com/fortune500/2019/amerisourcebergen,Steven H. Collis,"Chairman, President & Chief Executive Officer","Chesterbrook, Pa."
11,Chevron,https://fortune.com/fortune500/2019/chevron,Michael K. Wirth,Chairman & Chief Executive Officer,"San Ramon, Calif."
12,Ford Motor,https://fortune.com/fortune500/2019/ford-motor,James P. Hackett,"President, Chief Executive Officer & Director","Dearborn, Mich."
13,General Motors,https://fortune.com/fortune500/2019/general-motors,Mary T. Barra,Chairman & Chief Executive Officer,"Detroit, Mich."
14,costco,https://fortune.com/fortune500/2019/costco,W. Craig Jelinek,"President, Chief Executive Officer & Director","Issaquah, Wash."
15,Alphabet,https://fortune.com/fortune500/2019/alphabet,Larry Page,Chief Executive Officer & Director,"Mountain View, Calif."
16,Cardinal Health,https://fortune.com/fortune500/2019/cardinal-health,Michael C. Kaufmann,Chairman & Chief Executive Officer,"Dublin, Ohio"
17,Walgreens Boots Alliance,https://fortune.com/fortune500/2019/walgreens-boots-alliance,Stefano Pessina,Chairman & Chief Executive Officer,"Deerfield, Ill."
18,JPMorgan Chase,https://fortune.com/fortune500/2019/jpmorgan-chase,James Dimon,Chairman & Chief Executive Officer,"New York, N.Y."
19,verizon,https://fortune.com/fortune500/2019/verizon,Hans E. Vestberg,Chairman & Chief Executive Officer,"New York, N.Y."
20,Kroger,https://fortune.com/fortune500/2019/kroger,W. Rodney McMullen,Chairman & Chief Executive Officer,"Cincinnati, Ohio"
21,General Electric,https://fortune.com/fortune500/2019/general-electric,H. Lawrence Culp Jr.,Chairman & Chief Executive Officer,"Boston, Mass."
22,Fannie Mae,https://fortune.com/fortune500/2019/fannie-mae,Hugh R. Frater,Chief Executive Officer & Director,"Washington, D.C."
23,Phillips 66,https://fortune.com/fortune500/2019/phillips-66,Greg C. Garland,Chairman & Chief Executive Officer,"Houston, Texas"
24,Valero Energy,https://fortune.com/fortune500/2019/valero-energy,Joseph W. Gorder,"Chairman, President & Chief Executive Officer","San Antonio, Texas"
25,bank-of-america-corp,https://fortune.com/fortune500/2019/bank-of-america-corp,Brian T. Moynihan,Chairman & Chief Executive Officer,"Charlotte, N.C."
26,Microsoft,https://fortune.com/fortune500/2019/microsoft,Satya Nadella,Chief Executive Officer & Director,"Redmond, Wash."
27,Home Depot,https://fortune.com/fortune500/2019/home-depot,Craig A. Menear,"Chairman, President & Chief Executive Officer","Atlanta, Ga."
28,Boeing,https://fortune.com/fortune500/2019/boeing,Dennis A. Muilenburg,"Chairman, President & Chief Executive Officer","Chicago, Ill."
29,Wells Fargo,https://fortune.com/fortune500/2019/wells-fargo,Charles W. Scharf,Chief Executive Officer & Director,"San Francisco, Calif."
30,Citigroup,https://fortune.com/fortune500/2019/citigroup,Michael L. Corbat,Chairman & Chief Executive Officer,"New York, N.Y."
31,Marathon Petroleum,https://fortune.com/fortune500/2019/marathon-petroleum,Gary R. Heminger,Chairman & Chief Executive Officer,"Findlay, Ohio"
32,Comcast,https://fortune.com/fortune500/2019/comcast,Brian L. Roberts,"Chairman, President & Chief Executive Officer","Philadelphia, Pa."
33,Anthem,https://fortune.com/fortune500/2019/anthem,Gail K. Boudreaux,"President, Chief Executive Officer & Director","Indianapolis, Ind."
34,Dell Technologies,https://fortune.com/fortune500/2019/dell-technologies,Michael S. Dell,Chairman & Chief Executive Officer,"Round Rock, Texas"
35,dowdupont,https://fortune.com/fortune500/2019/dowdupont,Marc Doyle,Chief Executive Officer,"Wilmington, Del."
36,state-farm-insurance-cos,https://fortune.com/fortune500/2019/state-farm-insurance-cos,Michael L. Tipsord,"Chairman, President & Chief Executive Officer","Bloomington, Ill."
37,johnson-johnson,https://fortune.com/fortune500/2019/johnson-johnson,Alex Gorsky,Chairman & Chief Executive Officer,"New Brunswick, N.J."
38,IBM,https://fortune.com/fortune500/2019/ibm,Virginia M. Rometty,"Chairman, President & Chief Executive Officer","Armonk, N.Y."
39,Target,https://fortune.com/fortune500/2019/target,Brian C. Cornell,Chairman & Chief Executive Officer,"Minneapolis, Minn."
40,Freddie Mac,https://fortune.com/fortune500/2019/freddie-mac,Donald H. Layton,Chief Executive Officer & Director,"McLean, Va."
41,ups,https://fortune.com/fortune500/2019/ups,David P. Abney,Chairman & Chief Executive Officer,"Atlanta, Ga."
